Cumulative Rewards, Average Rewards, No Timesteps
-937.6344175258589, -11.868790095264037, 79
-816.9380494441403, -12.01379484476677, 68
-838.6862716595841, -10.483578395744802, 80
-1181.5209781101632, -11.69822750604122, 101
-848.4361427349922, -12.296175981666554, 69
-938.5798076936534, -12.349734311758597, 76
-1194.3417057564382, -13.270463397293756, 90
-899.6011707031191, -11.1061872926311, 81
-784.6814524549621, -12.072022345460956, 65
-869.5397696707123, -11.750537427982598, 74
-995.4536413303509, -10.8201482753299, 92
-1232.4847756130139, -9.628787309476671, 128
-2079.300311013507, -15.06739355806889, 138
-1253.4293597186647, -11.937422473511093, 105
-871.1600680845764, -12.445143829779663, 70
-771.8881430239614, -13.082849881762058, 59
-776.4299383728854, -13.621577866190972, 57
-1095.956716937827, -12.597203642963528, 87
-978.1174960944552, -12.22646870118069, 80
-796.9658284049265, -12.452591068826976, 64
-1066.3809292367368, -12.399778246938801, 86
-746.2975320681539, -12.867198828761275, 58
-1267.5048901408106, -13.342156738324322, 95
-746.0562373594531, -13.088705918586896, 57
-828.2447354757843, -12.94132399180913, 64
-904.5868942321019, -12.391601290850712, 73
-750.16297138134, -8.622562889440688, 87
-762.7091145232414, -13.867438445877116, 55
-755.3259387398404, -13.25133225859369, 57
-810.280688089106, -10.803742507854746, 75
-1250.9960687216503, -12.76526600736378, 98
-737.8082605487226, -12.944004571030222, 57
-1246.3016574498997, -12.218643700489213, 102
-1395.2751291126099, -13.679167932476567, 102
-871.2981283629963, -12.447116119471376, 70
-722.7914564946606, -13.141662845357464, 55
-921.4023267759635, -11.966263984103422, 77
-1332.2056881537417, -12.450520450034968, 107
-776.4803392936587, -13.160683716841673, 59
-868.7912169324899, -12.23649601313366, 71
-946.8840697804382, -11.836050872255477, 80
-1947.8884237190819, -15.099910261388231, 129
-802.1514961128428, -12.937927356658754, 62
-1312.8573046455485, -13.675596923391131, 96
-1098.8461021040885, -12.92760120122457, 85
-782.5047044838827, -9.427767523902201, 83
-1133.5382822873526, -12.736385194239917, 89
-1112.755495046938, -12.79029304651653, 87
-721.712024772571, -13.122036814046746, 55
-887.9003970082397, -11.998654013624861, 74
-1385.6119637066204, -13.45254333695748, 103
-726.2873125557029, -12.969416295637552, 56
-755.867245652001, -13.997541586148166, 54
-997.9948264393856, -12.320923783202291, 81
-1126.5935848259617, -13.099925404953042, 86
-1181.1767969263246, -12.303924967982548, 96
-781.4477566629962, -12.603996075209617, 62
-808.1778080169445, -12.828219174872135, 63
-943.3618677074672, -11.50441302082277, 82
-726.0917597031004, -13.201668358238189, 55
-1041.9816009880578, -12.707092694976316, 82
-1227.382889631281, -13.341118365557401, 92
-702.1245291987734, -12.765900530886789, 55
-1141.535406970511, -13.121096631844955, 87
-1236.8818406060393, -11.5596433701499, 107
-1574.295106027817, -13.57150953472256, 116
-1609.7196764513453, -13.414330637094544, 120
-661.0051829793621, -7.869109321182882, 84
-2034.4115114125036, -14.742112401539881, 138
-1003.0335975171763, -12.383130833545387, 81
-824.2681004835325, -11.775258578336178, 70
-727.748903894644, -13.476831553604518, 54
-897.8288888649458, -12.132822822499268, 74
-1612.5458462262502, -13.217588903493855, 122
-910.7166448892076, -11.983113748542205, 76
-1535.9586629571716, -13.713916633546175, 112
-1036.8906628781865, -11.030751732746666, 94
-989.759709216259, -12.371996365203238, 80
-1571.7285951534154, -13.54938444097772, 116
-1373.2198988660523, -13.462940184961298, 102
-818.8487389993094, -9.521496965108248, 86
-1481.2451158440642, -13.465864689491493, 110
-1825.572101740979, -14.722355659201444, 124
-1341.4761120193803, -13.550263757771518, 99
-900.8571862735886, -12.1737457604539, 74
-1802.3991021140107, -14.192118914283549, 127
-760.3963173713967, -13.110281333989597, 58
-2243.997013820143, -15.802795871972837, 142
-715.6379917435075, -12.555052486728203, 57
-1647.6587788169043, -14.203954989800899, 116
-1011.3605611939522, -12.485932854246323, 81
-824.9111774274838, -12.690941191192058, 65
-761.7008457673603, -13.132773202885522, 58
-1159.902360126641, -13.032610787939786, 89
-867.0959727384505, -11.717513145114197, 74
-1305.4116789859172, -13.054116789859172, 100
-1389.8690972610716, -13.23684854534354, 105
